Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 10:00:00,09/02/13 11:00:00,2834
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 10:00:00,09/02/13 11:00:00,1656
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 11:00:00,09/02/13 12:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 11:00:00,09/02/13 12:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 11:00:00,09/02/13 12:00:00,35
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 11:00:00,09/02/13 12:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 11:00:00,09/02/13 12:00:00,1996
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 11:00:00,09/02/13 12:00:00,1216
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 12:00:00,09/02/13 13:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 12:00:00,09/02/13 13:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 12:00:00,09/02/13 13:00:00,35
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 12:00:00,09/02/13 13:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 12:00:00,09/02/13 13:00:00,2344
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 12:00:00,09/02/13 13:00:00,1008
